	date	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
326	2016-11-22	2577	14	79	57	98	142	146	219	400	444	461	359	136	22
327	2016-11-23	2577	26	56	67	103	122	170	204	418	470	460	359	103	19
328	2016-11-24	2581	23	67	54	98	117	172	215	388	439	518	344	129	17
329	2016-11-25	2618	20	72	69	96	119	172	221	388	453	512	346	125	25
330	2016-11-26	2568	25	56	52	80	141	164	204	396	465	517	336	113	19
331	2016-11-27	2449	17	68	52	86	118	144	192	405	428	462	346	104	27
332	2016-11-28	2521	17	72	73	103	107	164	189	386	489	502	298	110	11
333	2016-11-29	2551	19	68	61	112	134	173	210	388	470	477	335	91	13
334	2016-11-30	2622	30	86	67	110	122	189	197	393	445	497	347	110	29
335	2016-12-01	2658	21	73	86	81	143	167	185	424	492	516	341	116	13
336	2016-12-02	2754	21	67	54	115	133	187	241	412	457	540	387	121	19
337	2016-12-03	2532	14	62	81	113	140	154	224	354	401	492	358	124	15
338	2016-12-04	2509	28	61	66	98	121	176	195	350	443	463	370	114	24
339	2016-12-05	2658	24	72	61	114	132	152	214	436	442	529	348	117	17
340	2016-12-06	2662	21	64	75	100	140	156	223	417	461	502	383	101	19
341	2016-12-07	2678	23	67	59	111	124	186	236	401	439	483	411	127	11
342	2016-12-08	2706	12	72	72	91	134	197	221	422	463	516	373	109	24
343	2016-12-09	2727	23	85	66	118	130	173	220	378	513	510	385	111	15
344	2016-12-10	2699	27	67	61	94	116	183	214	403	492	540	346	132	24
345	2016-12-11	2663	19	54	63	93	140	163	232	402	451	545	377	104	20
346	2016-12-12	2704	22	68	63	86	137	184	219	411	475	517	370	131	21
347	2016-12-13	2718	29	71	59	77	123	180	232	439	497	506	356	122	27
348	2016-12-14	2700	22	60	56	98	131	181	215	395	470	515	395	141	21
349	2016-12-15	2784	26	82	70	94	147	209	241	423	471	512	366	127	16
350	2016-12-16	2662	23	72	71	102	146	159	218	418	439	517	348	130	19
351	2016-12-17	2629	22	61	55	95	137	190	214	394	422	510	395	108	26
352	2016-12-18	2688	22	64	68	93	112	145	225	421	478	532	383	131	14
353	2016-12-19	2748	18	86	68	99	165	185	229	434	455	521	356	113	19
